Groups,Labridae (Wrasses),FISH_CODE,Common Name,Abundance,Length,Biomass
Labridae (Wrasses),Cheilinus fasciatus,CHE.FASC,Redbreast Maori Wrasse,x,,
Labridae (Wrasses),Cheilinus undulatus,CHE.UNDU,Humphead Maori Wrasse,x,,
Labridae (Wrasses),Choerodon fasciatus,CHO.FASC,Harlequin Tuskfish,x,,
Labridae (Wrasses),Hemigymnus fasciatus,HEM.FASC,Fiveband Wrasse,x,,
Labridae (Wrasses),Hemigymnus melapterus,HEM.MELT,Thicklip Wrasse,x,,
Lethrinidae (Emperors),Lethrinus atkinsoni,LET.ATKI,Yellowtail Emperor,x,,
Lethrinidae (Emperors),Lethrinus erythracanthus,LET.ERYT,Orangespotted Emperor,x,,
Lethrinidae (Emperors),Lethrinus erythropterus,LET.ERUS,Longfin Emperor,x,,
Lethrinidae (Emperors),Lethrinus harak,LET.HARA,Thumbprint Emperor,x,,
Lethrinidae (Emperors),Lethrinus laticaudis,LET.LATI,Grass Emperor,x,,
Lethrinidae (Emperors),Lethrinus lentjan,LET.LENT,Redspot Emperor,x,,
Lethrinidae (Emperors),Lethrinus microdon,LET.MICR,Smalltooth Emperor,x,,
Lethrinidae (Emperors),Lethrinus miniatus,LET.MINI,Redthroat Emperor,x,,
Lethrinidae (Emperors),Lethrinus nebulosus,LET.NEBU,Spangled Emperor,x,,
Lethrinidae (Emperors),Lethrinus obsoletus,LET.OBSO,Orangestriped Emperor,x,,
Lethrinidae (Emperors),Lethrinus olivaceus,LET.OLIV,Longnose Emperor,x,,
Lethrinidae (Emperors),Lethrinus ornatus,LET.ORNA,Ornate Emperor,x,,
Lethrinidae (Emperors),Lethrinus rubrioperculatus,LET.RUBR,Spotcheek Emperor,x,,
Lethrinidae (Emperors),Lethrinus semicinctus,LET.SEMI,Blackblotch Emperor,x,,
Lethrinidae (Emperors),Lethrinus xanthochilus,LET.XANT,"Yellowlip Emperor 	",x,,
Lethrinidae (Emperors),Monotaxis grandoculis,MON.GRAN,Bigeye Seabream,x,,
