FULLREEF_ID,REEF_NAME,CODE,RAP_REEF_PAIR,NEW_PAIR,NEW_RAP_PAIR,OPENORCLOSED_AFTER2004,Comment
11016S,MCSWEENEY REEF,,,1,29,O,new addition
11049S,11049S,,,1,29,C,new addition
11029S,MONSOON REEF,,,2,30,O,new addition
11162S,11162S,,,2,30,C,new addition
12056S,MANTIS REEF,,,3,31,C,new addition
12061S,LAGOON REEF,,,3,31,O,new addition
13124S,13124S,,,4,32,O,new addition
14016S,CORBETT REEF,,,4,32,C,new addition
13130S,DAVIE REEF,,,5,33,O,new addition
14045S,SAND BANK NO 1 REEF,,,5,33,C,new addition
15099C,AGINCOURT REEFS (NO 1),RMRAP,1,6,1,C,pair number changed
16019S,ST CRISPIN REEF,RMRAP,1,6,1,O,pair number changed
16057S,HASTINGS REEF,RMRAP,2,7,34,C,"new pair, pair number changed"
16064S,ARLINGTON REEF,RAP,2,,,O,dropped
16071S,MOORE REEF,RAP,3,,,C,dropped
16068S,THETFORD REEF,RMRAP,3,7,34,O,"new pair, pair number changed"
17016S,MCCULLOCH,RAP,4,,,C,dropped
17014S,HEDLEY REEF,RAP,4,,,O,dropped
17034S,FEATHER REEF,RAP,5,8,5,C,pair number changed
17024S,PEART REEF,RAP,5,8,5,O,pair number changed
17064S,TAYLOR REEF,RAP,6,9,6,C,pair number changed
17063A,FARQUHARSON REEF (NO 1),RAP,6,9,6,O,pair number changed
18030S,KELSO REEF,RAP,7,10,35,C,"new pair, pair number changed"
18042S,ROXBURGH REEF,RAP,7,,,O,dropped
18096S,DAVIES REEF,RM,,10,35,O,"new pair, pair number changed"
18076S,HELIX REEF,RAP,8,11,8,C,pair number changed
18032S,RIB REEF,RMRAP,8,11,8,O,pair number changed
18043S,FORE AND AFT REEF,RAP,9,,,C,dropped
18031S,LITTLE KELSO REEF,RAP,9,,,O,dropped
18083S,FORK REEF,RAP,10,,,C,dropped
18077S,GRUB REEF(18077),RAP,10,,,O,dropped
18081S,KNIFE REEF,RAP,11,12,11,C,pair number changed
18086S,CHICKEN REEF,RMRAP,11,12,11,O,pair number changed
18088S,CENTIPEDE REEF,RAP,12,,,O,dropped
18091S,LYNCHS REEF,RAP,12,,,C,dropped
19159S,SLATE REEF,RM,,13,36,C,new addition
19207S,HYDE REEF,RM,,13,36,O,new addition
20014S,HAYMAN ISLAND REEF,RM,,14,37,C,new addition
20067A,BORDER ISLAND REEF (NO 1),RM,,14,37,O,new addition
20309S,TERN REEF(20309),RAP,18,15,18,C,pair number changed
21025S,PENRITH REEF,RAP,18,15,18,O,pair number changed
20351A,POMPEY REEF (NO 1),RAP,13,16,13,C,pair number changed
21060S,21060S,RAP,13,16,13,O,pair number changed
20351B,POMPEY REEF (NO 2),RAP,14,17,14,C,pair number changed
21591S,21591S,RAP,14,17,14,O,pair number changed
21139S,21139S,RAP,17,18,17,C,pair number changed
21187S,21187S,RAP,17,18,17,O,pair number changed
21245S,21245S,RAP,19,,,C,dropped
21278S,21278S,RAP,19,,,O,dropped
21556S,GANNETT CAY REEF,RM,,19,38,C,new addition
21572S,SMALL LAGOON REEF,RAP,20,,,C,dropped
21584S,JENKINS REEF,RAP,20,,,O,dropped
22084S,22084S,RAP,22,,,C,dropped
21550S,21550S,RAP,22,19,38,O,pair number changed
21558S,21558S,RAP,23,20,23,C,pair number changed
21305S,EAST CAY REEF,RMRAP,23,20,23,O,pair number changed
21588S,WADE REEF,RAP,21,21,21,C,no change
22102S,CHINAMAN REEF(22102),RMRAP,21,21,21,O,no change
23051S,WRECK ISLAND REEF,RM,,22,39,C,new addition
23048S,BROOMFIELD REEF,RMRAP,25,22,39,O,pair number changed
23045A,NORTH REEF (NORTH),RAP,25,,,C,dropped
23068S,ERSKINE REEF,RAP,28,23,28,C,pair number changed
23069S,MAST HEAD REEF,RAP,28,23,28,O,pair number changed
23080S,HOSKYN ISLANDS REEF,RAP,26,,,C,dropped
23079S,BOULT REEF,RAP,26,,,O,dropped
23081S,FAIRFAX ISLANDS REEF,RAP,27,24,27,C,pair number changed
23082S,LADY MUSGRAVE REEF,RMRAP,27,24,27,O,pair number changed
21302S,21302S,RAP,24,,24,C,dropped
21296S,21296S,RAP,24,,24,O,dropped
